lab_code,section_code,top_depth-cm,bottom_depth-cm,middle_depth-cm,corrected_depth-cm,thickness-cm,material,radiocarbon_age-14c_yr_bp,radiocarbon_age_error-14c_yr_bp,d13c_method,d13c-permille_pdb,d13c_error-permille_pdb,carbon_yield-percent,reference,comments
NUTA2-8898,NA,3,4,3.5,NA,1,TOC,1793,28,NA,-27.3,NA,2.27,"Watanabe et al., 2007",NA
NUTA2-8899,NA,12,13,12.5,NA,1,TOC,3219,30,NA,-27.6,NA,2.86,"Watanabe et al., 2007",NA
NUTA2-8900,NA,54,55,54.5,NA,1,TOC,4792,32,NA,-28.4,NA,3.22,"Watanabe et al., 2007",NA
NUTA2-8901,NA,104,105,104.5,NA,1,TOC,7673,37,NA,-28.2,NA,2.62,"Watanabe et al., 2007",NA
NUTA2-11632,NA,122,123,122.5,NA,1,TOC,8544,27,NA,-29.1,NA,2.24,"Watanabe et al., 2009",NA
NUTA2-11633,NA,130,131,130.5,NA,1,TOC,9131,29,NA,-28.9,NA,2.87,"Watanabe et al., 2009",NA
NUTA2-13990,NA,139,140,139.5,NA,1,TOC,9688,36,IRMS,-28.8,NA,2.43,"Nara et al., 2010",NA
NUTA2-13991,NA,150,151,150.5,NA,1,TOC,8975,36,IRMS,-28.9,NA,2.09,"Nara et al., 2010",NA
NUTA2-13254,NA,154,155,154.5,NA,1,TOC,9882,45,IRMS,-28.6,NA,2.34,"Nara et al., 2010",NA
NUTA2-8902,NA,154,155,154.5,NA,1,TOC,10335,42,NA,NA,NA,NA,"Watanabe et al., 2007",NA
NUTA2-13992,NA,156,157,156.5,NA,1,TOC,9210,36,IRMS,-29.9,NA,2.15,"Nara et al., 2010",NA
NUTA2-10711,NA,159,160,159.5,NA,1,TOC,9453,39,NA,-30.7,NA,2.25,"Watanabe et al., 2009",NA
NUTA2-13993,NA,162,163,162.5,NA,1,TOC,9479,36,IRMS,-29.1,NA,2.25,"Nara et al., 2010",NA
NUTA2-9597,NA,164,165,164.5,NA,1,TOC,10164,50,NA,-29.2,NA,1.41,"Watanabe et al., 2007",NA
NUTA2-10723,NA,167,168,167.5,NA,1,TOC,11105,49,NA,-26.7,NA,1.57,"Watanabe et al., 2009",NA
NUTA2-9604,NA,174,175,174.5,NA,1,TOC,11834,53,NA,-27.2,NA,1.26,"Watanabe et al., 2007",NA
NUTA2-10749,NA,174,175,174.5,NA,1,TOC,10739,46,NA,NA,NA,NA,"Watanabe et al., 2009",NA
NUTA2-13985,NA,189,190,189.5,NA,1,TOC,12571,41,IRMS,-27,NA,1.83,"Nara et al., 2010",NA
NUTA2-13986,NA,198,199,198.5,NA,1,TOC,11928,42,IRMS,-31.4,NA,1.72,"Nara et al., 2010",NA
NUTA2-13255,NA,200,201,200.5,NA,1,TOC,11785,49,IRMS,-31.3,NA,1.48,"Nara et al., 2010",NA
NUTA2-9603,NA,200,201,200.5,NA,1,TOC,10440,50,NA,NA,NA,NA,"Watanabe et al., 2007",NA
NUTA-10717,NA,202,203,202.5,NA,1,TOC,8763,37,NA,NA,NA,NA,"Watanabe et al., 2009",NA
NUTA2-13257,NA,202,203,202.5,NA,1,TOC,12433,65,IRMS,-30.4,NA,1.41,"Nara et al., 2010",NA
NUTA2-13989,NA,204,205,204.5,NA,1,TOC,12289,41,IRMS,-29.7,NA,1.36,"Nara et al., 2010",NA
JAT-12144,NA,205,206,205.5,NA,1,TOC,11234,138,IRMS,-29.7265,NA,1.5147887119744639,"Nara et al., 2023",NA
JAT-12145,NA,207,208,207.5,NA,1,TOC,11731,119,IRMS,-29.2563333333333,NA,1.597133088500033,"Nara et al., 2023",NA
JAT-12146,NA,209,210,209.5,NA,1,TOC,12022,134,IRMS,-29.722,NA,1.530694441936813,"Nara et al., 2023",NA
JAT-12147,NA,211,212,211.5,NA,1,TOC,12518,122,IRMS,-29.5515,NA,1.5060029255231613,"Nara et al., 2023",NA
JAT-12148,NA,213,214,213.5,NA,1,TOC,12773,120,IRMS,-29.756999999999998,NA,1.534354293765732,"Nara et al., 2023",NA
NUTA2-9602,NA,214,215,214.5,NA,1,TOC,12705,54,NA,-29.6,NA,1.57,"Watanabe et al., 2007",NA
JAT-12149,NA,215,216,215.5,NA,1,TOC,13841,121,IRMS,-28.0865,NA,1.8014113034095391,"Nara et al., 2023",NA
JAT-12150,NA,217,218,217.5,NA,1,TOC,13575,118,IRMS,-29.2805,NA,1.4207760990394618,"Nara et al., 2023",NA
NUTA2-10716,NA,218,219,218.5,NA,1,TOC,13810,47,NA,-29.2,NA,1.41,"Watanabe et al., 2009",NA
NUTA2-10715,NA,222,223,222.5,NA,1,TOC,14690,49,NA,-26.9,NA,1.18,"Watanabe et al., 2009",NA
NUTA2-10712,NA,230,231,230.5,NA,1,TOC,15154,52,NA,-26.1,NA,1.15,"Watanabe et al., 2009",NA
NUTA2-8905,NA,240,241,240.5,NA,1,TOC,15714,56,NA,-26.3,NA,1.13,"Watanabe et al., 2007",NA
NUTA2-9601,NA,250,251,250.5,NA,1,TOC,15964,68,NA,-25.9,NA,1.09,"Watanabe et al., 2007",NA
JAT-12151,NA,253,254,253.5,NA,1,TOC,15627,127,IRMS,-26.484,NA,0.758835952295397,"Nara et al., 2023",NA
JAT-12152,NA,259,260,259.5,NA,1,TOC,15410,121,IRMS,-27.332500000000003,NA,0.766966463680144,"Nara et al., 2023",NA
JAT-12153,NA,261,262,261.5,NA,1,TOC,15324,125,IRMS,-27.56225,NA,0.7105772535315343,"Nara et al., 2023",NA
JAT-12154,NA,263,264,263.5,NA,1,TOC,15744,121,IRMS,-26.580666666666662,NA,1.2140661436151825,"Nara et al., 2023",NA
NUTA2-9600,NA,265,266,265.5,NA,1,TOC,16139,69,NA,-27.1,NA,1,"Watanabe et al., 2007",NA
JAT12155,NA,266,267,266.5,NA,1,TOC,15923,123,IRMS,-26.799500000000002,NA,0.908111389825006,"Nara et al., 2023",NA
NUTA2-9598,NA,267,268,267.5,NA,1,TOC,15543,66,NA,NA,NA,NA,"Watanabe et al., 2007",NA
NUTA2-13258,NA,267,268,267.5,NA,1,TOC,17430,71,IRMS,-26,NA,0.92,"Nara et al., 2010",NA
JAT-12156,NA,268,269,268.5,NA,1,TOC,14662,117,IRMS,-26.29,NA,1.0404725746592136,"Nara et al., 2023",NA
JAT-12157,NA,269,270,269.5,NA,1,TOC,16464,128,IRMS,-26.1815,NA,NA,"Nara et al., 2023",NA
NUTA2-10718,NA,272,273,272.5,NA,1,TOC,17551,58,NA,-25.7,NA,0.91,"Watanabe et al., 2009",NA
JAT-12159,NA,274,275,274.5,NA,1,TOC,16671,124,IRMS,-25.936999999999998,NA,0.63581553387235,"Nara et al., 2023",NA
NUTA2-10724,NA,277,278,277.5,NA,1,TOC,17649,72,NA,-26.5,NA,0.87,"Watanabe et al., 2009",NA
